	Rank	All Races Site	All Races Rate	White Site	White Rate	Black Site	Black Rate	Asian/Pacific Islander Site	Asian/Pacific Islander Rate	American Indian/Alaska Native Site	American Indian/Alaska Native Rate	Hispanic Site	Hispanic Rate
	1	Prostate	128.3	Prostate	117.2	Prostate	194.7	Prostate	67.1	Prostate	62.2	Prostate	104.4
	2	Lung and Bronchus	73.0	Lung and Bronchus	72.5	Lung and Bronchus	87.3	Lung and Bronchus	45.3	Lung and Bronchus	47.8	Colon and Rectum	43.1
	3	Colon and Rectum	46.1	Colon and Rectum	44.9	Colon and Rectum	55.0	Colon and Rectum	38.3	Colon and Rectum	33.5	Lung and Bronchus	42.5
	4	Urinary Bladder	35.1	Urinary Bladder	37.1	Kidney and Renal Pelvis	23.2	Liver and Intrahepatic Bile Duct	20.0	Kidney and Renal Pelvis	18.2	Kidney and Renal Pelvis	20.0
	5	Melanomas of the Skin	25.3	Melanomas of the Skin	28.0	Urinary Bladder	19.1	Non-Hodgkin Lymphoma	15.3	Urinary Bladder	13.9	Urinary Bladder	19.5
	6	Non-Hodgkin Lymphoma	22.6	Non-Hodgkin Lymphoma	23.1	Liver and Intrahepatic Bile Duct	16.3	Urinary Bladder	14.4	Liver and Intrahepatic Bile Duct	12.9	Non-Hodgkin Lymphoma	19.3
	7	Kidney and Renal Pelvis	21.0	Kidney and Renal Pelvis	21.1	Non-Hodgkin Lymphoma	16.2	Stomach	14.1	Non-Hodgkin Lymphoma	11.6	Liver and Intrahepatic Bile Duct	18.8
	8	Oral Cavity and Pharynx	17.0	Oral Cavity and Pharynx	17.4	Pancreas	16.2	Oral Cavity and Pharynx	10.8	Oral Cavity and Pharynx	10.9	Stomach	13.2
	9	Leukemias	16.5	Leukemias	16.8	Oral Cavity and Pharynx	14.8	Kidney and Renal Pelvis	10.7	Pancreas	9.9	Leukemias	12.5
	10	Pancreas	13.8	Pancreas	13.7	Stomach	13.9	Pancreas	10.2	Leukemias	8.2	Pancreas	12.3
