	Rank	All Races Site	All Races Rate	White Site	White Rate	Black Site	Black Rate	Asian/Pacific Islander Site	Asian/Pacific Islander Rate	American Indian/Alaska Native Site	American Indian/Alaska Native Rate	Hispanic Site	Hispanic Rate
	1	Female Breast	122.0	Female Breast	122.8	Female Breast	121.2	Female Breast	87.8	Female Breast	69.6	Female Breast	92.1
	2	Lung and Bronchus	52.0	Lung and Bronchus	53.6	Lung and Bronchus	48.2	Colon and Rectum	27.8	Lung and Bronchus	38.4	Colon and Rectum	29.3
	3	Colon and Rectum	34.9	Colon and Rectum	33.9	Colon and Rectum	40.9	Lung and Bronchus	26.9	Colon and Rectum	25.5	Lung and Bronchus	24.9
	4	Corpus and Uterus, NOS	25.4	Corpus and Uterus, NOS	25.7	Corpus and Uterus, NOS	24.6	Thyroid	20.4	Corpus and Uterus, NOS	14.7	Corpus and Uterus, NOS	21.8
	5	Thyroid	20.5	Thyroid	21.5	Pancreas	14.4	Corpus and Uterus, NOS	17.3	Kidney and Renal Pelvis	12.1	Thyroid	19.1
	6	Melanomas of the Skin	15.6	Melanomas of the Skin	17.8	Thyroid	13.4	Non-Hodgkin Lymphoma	11.0	Non-Hodgkin Lymphoma	9.1	Non-Hodgkin Lymphoma	14.6
	7	Non-Hodgkin Lymphoma	15.5	Non-Hodgkin Lymphoma	15.9	Kidney and Renal Pelvis	12.6	Ovary	8.9	Thyroid	8.9	Kidney and Renal Pelvis	11.8
	8	Ovary	11.3	Ovary	11.7	Non-Hodgkin Lymphoma	11.3	Pancreas	8.4	Ovary	7.9	Ovary	10.1
	9	Kidney and Renal Pelvis	11.0	Kidney and Renal Pelvis	11.1	Myeloma	10.6	Stomach	7.4	Liver and Intrahepatic Bile Duct	6.5	Pancreas	10.0
	10	Pancreas	10.7	Leukemias	10.4	Cervix	9.0	Liver and Intrahepatic Bile Duct	7.2	Pancreas	6.3	Cervix	9.8
